SORA Publication Date,Compound SORA - 3 month
3.Oct.06,3.2576
4.Oct.06,3.2584
5.Oct.06,3.2601
6.Oct.06,3.2589
9.Oct.06,3.2494
10.Oct.06,3.2471
11.Oct.06,3.2472
12.Oct.06,3.2493
13.Oct.06,3.2512
16.Oct.06,3.2548
17.Oct.06,3.2563
18.Oct.06,3.261
19.Oct.06,3.266
20.Oct.06,3.2704
23.Oct.06,3.2729
25.Oct.06,3.2745
26.Oct.06,3.276
27.Oct.06,3.2795
30.Oct.06,3.2973
31.Oct.06,3.3044
1.Nov.06,3.3125
2.Nov.06,3.3187
3.Nov.06,3.3231
6.Nov.06,3.3351
7.Nov.06,3.3386
8.Nov.06,3.3432
9.Nov.06,3.3463
10.Nov.06,3.349
13.Nov.06,3.3485
14.Nov.06,3.3486
15.Nov.06,3.3473
16.Nov.06,3.3462
17.Nov.06,3.3465
20.Nov.06,3.3474
21.Nov.06,3.347
22.Nov.06,3.3467
23.Nov.06,3.3452
24.Nov.06,3.3429
27.Nov.06,3.3342
28.Nov.06,3.3315
29.Nov.06,3.3287
30.Nov.06,3.3245
1.Dec.06,3.3216
4.Dec.06,3.3101
5.Dec.06,3.308
6.Dec.06,3.3064
7.Dec.06,3.3054
8.Dec.06,3.3062
11.Dec.06,3.312
12.Dec.06,3.3151
13.Dec.06,3.317
14.Dec.06,3.3146
15.Dec.06,3.3139
18.Dec.06,3.3171
19.Dec.06,3.3178
20.Dec.06,3.3159
21.Dec.06,3.3119
22.Dec.06,3.3047
26.Dec.06,3.279
27.Dec.06,3.2767
28.Dec.06,3.276
29.Dec.06,3.278
3.Jan.07,3.2918
4.Jan.07,3.2889
5.Jan.07,3.2886
8.Jan.07,3.2913
9.Jan.07,3.2914
10.Jan.07,3.2904
11.Jan.07,3.2886
12.Jan.07,3.2847
15.Jan.07,3.2746
16.Jan.07,3.271
17.Jan.07,3.2646
18.Jan.07,3.2576
19.Jan.07,3.2528
22.Jan.07,3.2407
23.Jan.07,3.2376
24.Jan.07,3.2354
25.Jan.07,3.2334
26.Jan.07,3.231
29.Jan.07,3.2177
30.Jan.07,3.2136
31.Jan.07,3.2095
1.Feb.07,3.205
2.Feb.07,3.2012
5.Feb.07,3.1889
6.Feb.07,3.185
7.Feb.07,3.1819
8.Feb.07,3.1795
9.Feb.07,3.1768
12.Feb.07,3.1733
13.Feb.07,3.1728
14.Feb.07,3.1717
15.Feb.07,3.1708
16.Feb.07,3.1707
21.Feb.07,3.1606
22.Feb.07,3.1593
23.Feb.07,3.1586
26.Feb.07,3.1566
27.Feb.07,3.1544
28.Feb.07,3.1495
1.Mar.07,3.1456
2.Mar.07,3.1448
5.Mar.07,3.1403
6.Mar.07,3.1357
7.Mar.07,3.1265
8.Mar.07,3.115
9.Mar.07,3.1039
12.Mar.07,3.0708
13.Mar.07,3.0579
14.Mar.07,3.0445
15.Mar.07,3.0288
16.Mar.07,3.0151
19.Mar.07,3.0023
20.Mar.07,2.9995
21.Mar.07,2.9966
22.Mar.07,2.993
23.Mar.07,2.9891
26.Mar.07,2.9811
27.Mar.07,2.9766
28.Mar.07,2.9688
29.Mar.07,2.9552
30.Mar.07,2.9446
2.Apr.07,2.9207
3.Apr.07,2.9104
4.Apr.07,2.9041
5.Apr.07,2.8968
9.Apr.07,2.8743
10.Apr.07,2.8679
11.Apr.07,2.8591
12.Apr.07,2.8498
13.Apr.07,2.8406
16.Apr.07,2.8137
17.Apr.07,2.8067
18.Apr.07,2.7963
19.Apr.07,2.7828
20.Apr.07,2.771
23.Apr.07,2.7421
24.Apr.07,2.7336
25.Apr.07,2.7256
26.Apr.07,2.7183
27.Apr.07,2.7101
30.Apr.07,2.6864
2.May.07,2.6611
3.May.07,2.6527
4.May.07,2.6453
7.May.07,2.6249
8.May.07,2.6176
